               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12094,            0.011501,            0.042557,          0.00016459,             0.03125,           9.729e-05,          2.1299e-05,              0.1276,            0.011727,            0.046518,             0.00041,             0.00041,             0.09631
                   1,             0.11147,            0.010744,            0.038692,            0.001387,           0.0089286,          0.00029126,          7.2173e-05,             0.11097,             0.01292,            0.042252,          0.00082795,          0.00082795,            0.092528
                   2,            0.085347,             0.01241,             0.03335,            0.022628,            0.022321,           0.0066062,           0.0012515,            0.096548,            0.016304,            0.041222,           0.0012377,           0.0012377,            0.088738
                   3,            0.072592,            0.014599,            0.033036,             0.38793,            0.075893,            0.099836,            0.032654,             0.06821,            0.016888,            0.037905,           0.0016332,           0.0016332,            0.084933
                   4,            0.067652,             0.01262,            0.032263,             0.11182,             0.45231,             0.18898,            0.075448,              0.0679,            0.014146,            0.036826,           0.0020087,           0.0020087,            0.081109
                   5,            0.065613,            0.011672,            0.031994,               0.141,             0.35958,             0.20928,            0.057839,            0.063934,            0.012646,            0.037436,           0.0023587,           0.0023587,            0.077259
                   6,            0.055379,            0.010435,            0.027979,             0.19974,             0.46057,             0.26249,            0.080077,            0.055304,            0.012523,            0.037521,           0.0026782,           0.0026782,            0.073378
                   7,            0.054267,           0.0099604,            0.025019,             0.24388,             0.43851,             0.21567,            0.056143,             0.05834,            0.011615,            0.035236,           0.0029628,           0.0029628,            0.069463
                   8,            0.056917,            0.010049,            0.026106,             0.31658,             0.40204,             0.34484,             0.14237,            0.051805,            0.011907,            0.034779,           0.0032087,           0.0032087,            0.065509
                   9,            0.054361,           0.0093201,            0.022791,             0.21403,             0.51634,             0.27685,             0.06852,            0.063094,            0.010983,            0.029649,           0.0034128,           0.0034128,            0.061513
                  10,            0.053613,           0.0093118,            0.021715,             0.43128,             0.58705,             0.46493,             0.21193,            0.053258,            0.010914,            0.031535,           0.0035727,           0.0035727,            0.057473
                  11,            0.051718,           0.0092268,            0.019889,             0.58656,             0.55087,             0.49018,              0.1686,              0.0616,            0.010334,            0.021336,           0.0036871,           0.0036871,            0.053387
                  12,            0.055297,            0.008934,              0.0207,             0.49336,              0.6374,             0.54449,             0.23544,            0.048451,            0.010452,            0.022296,           0.0037554,           0.0037554,            0.049255
                  13,            0.054501,           0.0083793,             0.01834,             0.44199,              0.6178,             0.54166,             0.23095,            0.044909,               0.011,            0.020139,           0.0037777,           0.0037777,            0.045078
                  14,            0.053762,           0.0084432,            0.016573,             0.64291,             0.57372,             0.58421,             0.25058,            0.048159,           0.0099978,            0.021728,           0.0037554,           0.0037554,            0.040855
                  15,            0.050172,           0.0080705,            0.014734,             0.64417,             0.62009,             0.62869,             0.33305,            0.048114,           0.0098003,            0.022461,           0.0036905,           0.0036905,             0.03659
                  16,            0.048293,           0.0080866,            0.014167,             0.61986,             0.72499,             0.70975,             0.40726,             0.04059,           0.0096514,            0.016504,           0.0035861,           0.0035861,            0.032286
                  17,            0.046802,           0.0080282,            0.015729,             0.72467,             0.68871,             0.73569,             0.37175,            0.041952,            0.009639,            0.018881,           0.0034461,           0.0034461,            0.027946
                  18,            0.045077,           0.0080989,            0.014013,             0.80563,             0.63946,             0.76564,              0.4205,            0.039484,           0.0093904,            0.019247,           0.0032752,           0.0032752,            0.023575
                  19,            0.044056,            0.007636,            0.012154,             0.77674,             0.69928,             0.74877,             0.26084,            0.046705,           0.0092077,            0.014102,           0.0030789,           0.0030789,            0.019179
                  20,            0.045188,            0.007425,            0.012363,             0.75161,             0.70157,             0.75523,             0.45333,             0.03665,           0.0092726,            0.014427,           0.0028633,           0.0028633,            0.014763
                  21,            0.042481,           0.0077181,            0.010726,             0.76035,             0.74551,             0.78499,             0.41998,            0.042508,           0.0089423,            0.012559,           0.0026351,           0.0026351,            0.010335
                  22,            0.040941,           0.0077001,            0.011526,             0.77461,             0.72077,             0.78764,             0.42091,            0.039145,           0.0088522,            0.010447,           0.0024018,           0.0024018,           0.0059018
                  23,            0.040849,           0.0072675,            0.010552,             0.82905,             0.72298,             0.81842,             0.46176,            0.036444,           0.0087765,             0.01227,           0.0021558,           0.0021558,           0.0021558
                  24,            0.039695,           0.0074649,            0.009817,             0.85077,             0.73533,             0.83189,             0.49097,            0.033942,           0.0086271,            0.009114,           0.0021558,           0.0021558,           0.0021558
                  25,            0.036058,           0.0071341,           0.0082738,              0.8871,             0.81988,             0.88259,             0.52337,            0.034404,           0.0082833,           0.0082048,           0.0018594,           0.0018594,           0.0018594
                  26,            0.031804,           0.0064723,           0.0077389,             0.85339,             0.75719,              0.8592,              0.5461,            0.032398,            0.008138,           0.0078954,           0.0016029,           0.0016029,           0.0016029
                  27,             0.03353,           0.0066991,           0.0082862,             0.80612,             0.82693,             0.87109,             0.56459,            0.029683,           0.0079918,           0.0085195,            0.001389,            0.001389,            0.001389
                  28,            0.031291,           0.0068992,           0.0076243,              0.9208,             0.78867,             0.86643,             0.58202,              0.0302,           0.0076635,           0.0072907,           0.0012202,           0.0012202,           0.0012202
                  29,            0.031471,           0.0066187,           0.0071255,             0.84767,             0.83437,              0.8615,             0.59125,            0.031228,           0.0075668,           0.0070883,           0.0010983,           0.0010983,           0.0010983
